RandomID,IQ,CGPA,Placement
71615,92,6.43,1
68564,94,7.84,1
59689,105,6.02,0
20742,92,6.31,0
63459,132,6.3,0
76455,105,7.41,1
89463,111,7.1,1
66718,131,8.25,1
78119,132,6.17,0
63593,106,7.06,1
37354,114,8.26,1
55960,121,7.82,0
29623,107,5.74,0
11092,83,7.93,1
99004,119,6.67,0
88923,123,7.62,0
70215,116,7.53,1
74518,96,8.54,1
83491,107,7.33,0
13516,101,5.16,0
37692,105,5.69,0
35925,129,8.0,1
55239,132,6.92,0
58317,120,8.45,1
38962,118,7.5,1
84040,120,6.38,1
57305,109,8.39,0
51732,108,6.31,0
41214,99,5.0,0
26215,109,9.47,0
34035,143,5.1,1
35795,123,7.9,0
66392,104,8.23,1
39616,102,7.36,0
52688,97,5.35,0
53408,115,8.32,0
74886,115,5.61,0
16047,88,5.72,0
64621,117,6.8,0
49516,101,8.07,1
76300,131,7.53,0
73047,112,8.09,1
16423,135,6.71,1
75034,103,7.01,0
23760,105,5.95,0
15437,114,6.85,0
59244,125,7.85,1
76784,118,6.87,0
85413,91,7.72,1
61556,112,6.57,1
61779,110,6.55,0
97259,103,7.24,0
30961,100,6.99,0
97059,136,7.85,1
25259,104,7.4,0
83220,97,9.11,1
83401,119,6.96,1
98805,111,6.95,0
15085,108,6.06,0
65249,121,7.23,0
76975,117,7.95,1
56210,115,6.39,1
88931,124,7.15,1
14018,114,7.99,0
57125,100,7.06,0
97671,104,6.63,0
87379,102,8.27,0
57307,113,7.31,0
83775,93,7.64,0
43117,82,8.49,1
85883,111,8.46,0
67065,89,6.82,0
55710,80,6.62,0
63524,115,7.51,1
61196,99,7.05,0
73523,117,5.11,0
52800,102,8.6,1
28692,93,7.22,0
52795,91,8.01,1
65752,102,5.91,0
15594,105,8.62,1
32266,97,6.55,0
62790,105,7.08,1
54587,86,5.66,0
62439,110,7.02,0
24770,83,6.95,0
76691,107,7.0,0
29869,120,7.68,1
40604,126,7.27,1
86623,135,8.27,1
26157,86,6.69,1
71064,121,6.1,0
84294,128,7.18,0
34949,124,7.89,0
78294,96,8.57,1
71077,116,8.1,0
30524,137,5.26,1
86763,87,7.61,1
10647,117,8.81,1
13793,126,7.27,1
