Age,Salary,Experience,Purchased
56,57841,36,1
46,90640,25,1
32,185983,12,0
60,158429,35,1
25,183551,3,0
38,81476,11,0
56,64811,35,1
36,187280,9,0
40,171222,21,1
28,91180,1,0
28,194358,1,0
41,132856,20,0
53,88450,27,1
57,172424,34,1
41,131888,21,1
20,130448,0,0
39,34397,14,0
19,192627,0,0
41,198031,16,1
47,151800,25,1
55,139180,33,1
19,86234,0,0
38,59954,17,0
50,198352,25,1
29,99459,9,0
39,167851,21,1
42,175538,18,1
44,188011,17,1
59,186342,35,1
45,79163,24,1
33,71934,16,0
32,183379,8,0
20,74098,0,0
54,25486,35,1
24,159407,0,0
38,106900,15,0
26,146020,9,0
56,122795,35,1
35,162202,8,0
21,107508,0,0
42,138324,20,1
31,80566,5,0
26,47192,8,0
43,21062,20,0
19,104076,2,0
37,109780,19,0
45,172617,18,1
24,41689,2,0
25,31174,3,0
52,108461,28,1
31,146174,11,0
34,123033,10,0
53,29348,33,1
57,174786,37,1
21,58102,0,0
19,94460,0,0
23,122634,0,0
59,109930,40,1
21,26801,0,0
46,123150,21,1
35,199208,11,0
43,174697,19,1
51,195333,33,1
27,21542,10,0
53,41677,36,1
31,197804,8,0
48,59081,24,1
32,113105,15,0
25,39065,7,0
31,108092,11,0
40,74693,18,0
57,46962,35,1
38,48295,18,0
33,33807,12,0
35,193420,17,0
41,177504,24,1
43,191334,25,1
42,188152,22,1
58,152396,32,1
46,111267,27,1
32,186981,5,0
18,39870,0,0
42,185650,25,1
24,46790,0,0
26,138874,2,0
41,45289,18,0
18,35485,0,0
25,64482,2,0
41,106188,21,0
28,24748,10,0
34,160507,7,0
25,23709,7,0
52,143961,33,1
52,50355,30,1
50,164188,25,1
22,176542,2,0
59,193416,40,1
56,62918,34,1
58,72224,40,1
45,59298,24,0
24,100219,0,0
26,81629,3,0
25,86040,2,0
29,48016,11,0
51,43960,27,1
50,53591,28,1
40,123333,19,0
41,134821,22,1
54,56395,27,1
52,149695,30,1
57,173772,36,1
39,54620,14,0
44,148148,24,1
52,40559,29,1
18,113396,0,0
52,41732,29,1
54,111362,35,1
31,181426,13,0
20,33843,0,0
18,134065,0,0
22,91726,0,0
43,37640,25,0
31,72528,12,0
56,58413,31,1
44,72638,20,0
26,130133,7,0
32,126357,14,0
32,170159,15,0
43,192502,21,1
59,175576,33,1
30,158186,9,0
49,98859,23,1
56,119657,39,1
49,162047,23,1
21,31023,4,0
47,41447,20,0
54,145899,37,1
40,43959,23,0
56,86203,39,1
32,139156,7,0
60,180775,38,1
46,29337,26,0
53,66427,34,1
30,81529,9,0
49,122023,25,1
24,104665,2,0
39,125787,16,0
45,182993,25,1
19,53307,0,0
59,178427,32,1
23,147016,6,0
45,24835,23,0
45,40159,27,1
37,198677,11,0
47,141790,24,1
28,125616,1,0
45,189160,24,1
42,98752,15,0
56,75284,32,1
50,77043,31,1
18,186619,0,0
44,117007,20,0
30,102844,8,0
58,47532,36,1
20,185421,0,0
56,142402,29,1
23,138012,2,0
25,196517,0,0
44,156785,23,1
26,76178,1,0
54,69407,37,1
50,70990,30,1
59,149473,34,1
41,78141,14,0
32,174865,12,0
49,76570,24,1
49,188964,23,1
41,21015,14,0
58,81813,33,1
29,47712,3,0
56,120497,30,1
19,159487,0,0
20,132816,0,0
54,148778,28,1
34,82292,12,0
19,43833,0,0
19,155230,0,0
45,40309,18,0
40,26970,20,0
54,92474,33,1
49,66540,28,1
50,171456,25,1
18,38017,0,0
36,95880,18,0
19,125570,0,0
43,28702,17,0
49,151456,22,1
23,20404,2,0
49,192015,28,1
21,198998,0,0
28,180261,7,0
34,32763,14,0
55,169456,28,1
41,118142,22,1
22,160932,1,0
51,100642,26,1
23,70612,3,0
39,43574,18,0
28,43524,11,0
33,30916,13,0
50,24809,28,1
26,183273,7,0
23,164528,0,0
33,141288,8,0
46,58765,21,0
20,185888,0,0
37,65106,17,0
53,73932,27,1
36,168172,11,0
43,77091,23,0
20,41949,0,0
36,57744,19,0
37,196615,13,0
49,128319,25,1
24,112193,1,0
58,56187,36,1
50,158311,27,1
57,144454,36,1
56,34489,30,1
35,81877,14,0
57,194197,39,1
18,69922,0,0
28,114074,1,0
45,183121,24,1
42,57131,19,0
40,194016,15,0
48,135765,23,1
47,93963,23,1
59,126884,33,1
52,145917,26,1
24,44285,0,0
33,57626,10,0
43,193880,19,1
19,39198,2,0
18,170830,0,0
29,35254,3,0
22,64238,0,0
54,21252,33,1
49,59764,28,1
26,97709,2,0
58,188513,35,1
52,73682,29,1
36,79494,14,0
33,101317,14,0
20,85215,0,0
37,98587,14,0
41,26949,16,0
50,75393,26,1
41,158013,23,1
28,45934,6,0
25,174458,5,0
53,95745,26,1
55,114456,37,1
57,73413,37,1
37,117239,20,0
52,62318,31,1
42,90390,15,0
52,63088,26,1
42,123196,17,0
46,190883,19,1
35,75479,16,0
35,39963,15,0
19,75123,0,0
52,145911,33,1
33,122468,12,0
58,93477,39,1
53,34388,31,1
50,25569,28,1
21,89836,4,0
50,124573,26,1
31,187658,13,0
38,163087,20,1
37,65002,11,0
25,157326,4,0
24,168216,1,0
20,175286,3,0
34,157162,12,0
50,162709,24,1
29,173487,6,0
39,44071,21,0
39,78243,15,0
47,145827,28,1
55,128215,33,1
55,192312,29,1
25,121570,0,0
44,184506,21,1
44,89724,25,1
51,135359,29,1
38,95697,20,0
47,48732,26,1
50,141465,27,1
45,162386,27,1
50,175026,28,1
22,77108,0,0
36,131195,19,0
21,123081,2,0
52,56668,30,1
34,43061,17,0
45,99252,25,1
47,59749,21,0
46,150560,27,1
23,124680,0,0
52,167979,31,1
58,169849,40,1
54,71745,27,1
41,128464,23,1
46,111865,23,1
48,132428,30,1
52,43624,26,1
50,43321,28,1
38,161560,21,1
49,42574,22,0
40,156312,15,0
50,194293,27,1
20,161550,0,0
35,170334,10,0
42,138831,24,1
59,155504,36,1
48,115257,31,1
20,84291,0,0
57,147600,40,1
41,70428,17,0
49,151374,22,1
39,151127,22,1
40,131317,19,0
19,159789,0,0
44,147449,19,1
59,48699,37,1
19,93686,0,0
43,87661,22,0
34,64247,14,0
57,167820,35,1
50,125113,28,1
26,24621,3,0
60,166106,40,1
56,156198,29,1
46,156194,28,1
59,38030,35,1
43,102838,19,0
52,104717,27,1
42,58638,17,0
41,87067,17,0
30,138033,13,0
24,125977,0,0
53,108869,36,1
37,125186,20,0
18,54674,0,0
25,186926,6,0
33,66271,15,0
31,93688,5,0
29,189590,6,0
40,131076,21,1
32,161339,13,0
45,21062,25,0
51,70448,24,1
19,115462,0,0
49,157301,30,1
40,67915,23,0
39,24632,19,0
42,124592,24,1
39,154668,20,1
39,129779,18,0
59,157240,34,1
23,128099,0,0
32,27561,6,0
60,102152,37,1
54,145036,29,1
50,144049,28,1
25,46734,0,0
22,157443,0,0
56,46069,33,1
21,32910,4,0
23,93479,6,0
49,101264,22,1
47,43275,20,0
52,92274,34,1
57,120776,38,1
33,68447,12,0
30,185601,3,0
59,146394,39,1
47,95703,22,1
36,96090,16,0
34,37260,11,0
36,132581,9,0
45,23812,24,0
43,179096,20,1
54,136148,32,1
43,178357,21,1
40,136421,20,0
26,21605,7,0
29,92303,3,0
18,178211,0,0
18,96125,1,0
51,164990,33,1
49,178518,30,1
42,144040,24,1
57,164118,39,1
18,175890,0,0
