Age,Gender,Review,Education,Purchased
56,Male,Excellent,UG,Yes
46,Female,Average,PG,Yes
32,Female,Excellent,School,Yes
25,Male,Good,School,No
38,Female,Average,School,No
56,Female,Good,PG,Yes
36,Female,Average,PG,Yes
40,Female,Good,School,No
28,Male,Good,PG,Yes
28,Male,Average,School,No
41,Female,Average,School,No
53,Female,Average,UG,No
57,Male,Poor,PG,Yes
41,Male,Excellent,School,Yes
20,Female,Poor,School,No
39,Male,Poor,PG,Yes
19,Female,Good,UG,Yes
41,Female,Average,UG,No
47,Male,Excellent,School,Yes
55,Male,Good,PG,Yes
19,Female,Poor,UG,No
38,Female,Average,PG,Yes
50,Male,Good,PG,Yes
29,Female,Average,School,No
39,Male,Good,UG,Yes
42,Female,Average,School,No
44,Male,Poor,UG,No
59,Male,Excellent,UG,Yes
45,Male,Poor,UG,No
33,Female,Excellent,UG,Yes
32,Female,Average,UG,No
20,Male,Good,PG,Yes
54,Female,Poor,School,No
24,Male,Excellent,PG,Yes
38,Male,Poor,UG,No
26,Female,Excellent,School,Yes
56,Female,Poor,UG,No
35,Male,Excellent,School,Yes
21,Female,Excellent,PG,Yes
42,Female,Average,School,No
31,Male,Excellent,School,Yes
26,Male,Average,School,No
43,Female,Excellent,School,Yes
19,Male,Good,School,No
37,Male,Good,UG,Yes
45,Female,Good,School,No
24,Male,Excellent,School,Yes
25,Male,Average,PG,Yes
52,Female,Average,School,No
31,Female,Excellent,PG,Yes
34,Male,Good,UG,Yes
53,Male,Good,School,No
57,Female,Average,PG,Yes
21,Female,Good,PG,Yes
19,Female,Poor,UG,No
23,Female,Average,School,No
59,Male,Good,School,No
21,Female,Average,PG,Yes
46,Female,Poor,School,No
35,Male,Average,PG,Yes
43,Female,Average,School,No
51,Male,Average,PG,Yes
27,Female,Average,School,No
53,Female,Poor,UG,No
31,Female,Excellent,School,Yes
48,Male,Average,School,No
32,Male,Average,UG,No
25,Female,Good,School,No
31,Male,Average,UG,No
40,Male,Good,School,No
57,Male,Excellent,PG,Yes
38,Male,Poor,PG,Yes
33,Male,Poor,School,No
35,Male,Excellent,School,Yes
41,Female,Poor,School,No
43,Female,Excellent,PG,Yes
42,Male,Excellent,School,Yes
58,Female,Excellent,PG,Yes
46,Female,Poor,UG,No
32,Female,Good,PG,Yes
18,Female,Excellent,PG,Yes
42,Male,Average,UG,No
24,Female,Poor,PG,Yes
26,Female,Excellent,School,Yes
41,Male,Excellent,School,Yes
18,Male,Average,PG,Yes
25,Female,Good,School,No
41,Female,Good,PG,Yes
28,Female,Good,School,No
34,Female,Excellent,School,Yes
25,Female,Excellent,PG,Yes
52,Female,Excellent,School,Yes
52,Male,Poor,PG,Yes
50,Female,Average,School,No
22,Female,Excellent,School,Yes
59,Male,Average,UG,No
56,Male,Average,UG,No
58,Male,Good,PG,Yes
45,Male,Poor,UG,No
24,Female,Excellent,PG,Yes
26,Female,Good,UG,Yes
25,Female,Good,School,No
29,Female,Excellent,PG,Yes
51,Female,Average,PG,Yes
50,Female,Good,School,No
40,Male,Average,PG,Yes
41,Female,Poor,PG,Yes
54,Male,Average,UG,No
